model,id,band,answerable,question,majority_answer,stated_conf,consistency,sem_entropy,logprob,correct,n_samples,n_conf_parsed
Qwen/Qwen2.5-7B-Instruct,sa_3212,selfaware_unans,False,"If thoughts were tangible objects, could we collect them by using magnetism?",No,0.8375,1.0,-0.0,-0.08378836487666128,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2463,selfaware_unans,False,How many planets are there in the entire universe?,<1>,0.1,1.0,-0.0,-0.0771891869808267,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3322,selfaware_unans,False,"If the early bird gets the worm, why do good things come to those who wait?",Persistence pays off,0.85,0.5,1.3862943611198906,-0.1694428846675359,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2648,selfaware_unans,False,"Is the Earth just molten rock, or is it a living and breathing organism?",Living and breathing organism,0.675,0.375,1.3208883431493221,-0.23223036416774767,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2581,selfaware_unans,False,Can a society exist without laws?,No,0.85,1.0,-0.0,-0.008677838609649123,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2608,selfaware_unans,False,What is the universe expanding into?,The universe is expanding into nothing.,0.875,0.375,1.2554823251787535,-0.22014036442042845,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2857,selfaware_unans,False,"A tomato is a fruit, so why is ketchup not called a smoothie?","Ketchup is processed, not blended.",0.85,0.625,1.0735428464085233,-0.1642894987625891,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3282,selfaware_unans,False,What brings cosmologists and particle physicists together?,Fundamental forces,0.85,0.25,1.7328679513998633,-0.23444776397111344,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2938,selfaware_unans,False,Why am I attracted to people who treat me badly yet can’t help myself from feeling attracted to them again and again despite how much they hurt me?,Emotional investment and codependency,0.7,0.125,2.0794415416798357,-0.27627119326631366,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2593,selfaware_unans,False,The schools debate team had some boys and some girls on it. If they were split into groups of 9 how many groups could they make?,0 groups,0.55,0.625,0.9002560512685369,-0.18670267127998658,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2485,selfaware_unans,False,Would you rather always say what you're thinking or never be able to speak again?,never speak again,0.83125,0.875,0.37677016125643675,-0.09116964738916558,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2756,selfaware_unans,False,Why are monkeys around if humans are their evolved counter?,Different evolutionary paths,0.88125,0.625,1.0735428464085233,-0.1861945473869579,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2545,selfaware_unans,False,"A thousand years from now, which things will be possible and which ones will not?","Space travel, AI, nanotechnology",0.78125,0.25,1.9061547465398496,-0.3056597869270825,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2731,selfaware_unans,False,Do you think religion will ever stop existing?,Maybe,0.5875,0.875,0.37677016125643675,-0.08133508114613316,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2543,selfaware_unans,False,"If a doctor suddenly had a heart attack while doing surgery, would the other doctors work on the doctor or the patient?",The patient,0.90625,0.625,0.6615632381579821,-0.1235410685674036,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3116,selfaware_unans,False,"Sam had saved up -8 dollars. If he received another 7 dollars for his allowance, how many 3 dollar toys could he buy?",0,0.8125,0.75,0.5623351446188083,-0.12678597388459897,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2786,selfaware_unans,False,"If you expect the unexpected, doesn’t that make the unexpected expected?",No,0.81875,0.5,0.6931471805599453,-0.12094124429936219,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3078,selfaware_unans,False,Do cannibals think clowns taste funny?,No,0.85,1.0,-0.0,-0.0294859730884954,,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_0,triviaqa,True,Which Cole Porter play won the first Tony Award for best musical in 1949?,Can-Can,0.9925,1.0,-0.0,-0.08808984205535768,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_1,triviaqa,True,"Who, after marrying in 1791, and living in Naples, became the mistress of Lord Nelson, having his child, Horatia, in 1803?",Emma Hamilton,0.9975,1.0,-0.0,-0.06229408588386699,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_2,triviaqa,True,The term 'the fourth wall' would be used for an imaginary wall in what type of building?,Theater,1.0,0.5,0.6931471805599453,-0.07958361586518474,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_3,triviaqa,True,Which millionaire introduced a free school milk programme in Chicago to combat rickets?,Quentin Roosevelt,0.925,1.0,-0.0,-0.15019035311834728,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_4,triviaqa,True,Which US comic superhero has the real name Steve Rogers?,Captain America,1.0,1.0,-0.0,-0.036834117239600894,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_5,triviaqa,True,"According to Arthurian legend, Arthur's wife Guinevere, had a little on the side with which Knight of the Round Table?",Sir Lancelot,0.98875,0.875,0.37677016125643675,-0.10074467464857587,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_6,triviaqa,True,"Who won the 2010 Boston Marathon with a time of 2:05:52, easily breaking the course record of 2:07:14?",Haile Gebrselassie,0.9925,0.625,0.6615632381579821,-0.1256638033558931,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_7,triviaqa,True,"In alphabetical order, what is the last U.S. state?",Wyoming,1.0,1.0,-0.0,-0.0428320365263601,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_8,triviaqa,True,"In internet/texting parlance, what does tl;dr mean?",Too long; didn't read,1.0,1.0,-0.0,-0.04082292967146508,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_9,triviaqa,True,"What commonly used English Latin expression means literally 'so' or 'thus' or 'in this manner', and generally refers to a quoted error?",Quod erat demonstrandum,0.8475,0.25,1.9061547465398496,-0.3833764980498844,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_10,triviaqa,True,Tala is the basic monetary unit of which country?,United Arab Emirates,0.99625,0.75,0.5623351446188083,-0.1393264479521681,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_11,triviaqa,True,"What is the next in the series: Nigeria, Sierra Leone, Tanganyika, Uganda, Zanzibar, Kenya, Malawi, Zambia, Gambia, Botswana, Lesotho, Mauritius",Mozambique,0.9325,0.75,0.7356219397587946,-0.32562052077104764,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_12,triviaqa,True,The fashion designer Jimmy Choo is best known for designing which item of clothing?,Shoes,1.0,1.0,-0.0,-0.03371767479262644,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_13,triviaqa,True,"In Edwin Landseer's painting, 'Dignity and Impudence', what kind of creatures are depicted?",Lions,0.99875,1.0,-0.0,-0.06653103379857195,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_14,triviaqa,True,What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,Bear,0.99875,0.875,0.37677016125643675,-0.07612023806042245,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_15,triviaqa,True,The islands called the Moluccas were previously known as what?,Spice Islands,1.0,1.0,-0.0,-0.06767580425023359,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_16,triviaqa,True,"Which side did Lancashire beat in the last match of the 2008 County Cricket Championship, thus staving off all thoughts of relegation?",Durham,0.9425,0.875,0.37677016125643675,-0.20535426354545028,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_17,triviaqa,True,How many squares are there in a standard 'Sudoku' grid?,81,1.0,1.0,-0.0,-0.025310269121535733,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_18,triviaqa,True,What was Tony Blair’s constituency?,Sedgefield,1.0,1.0,-0.0,-0.023557674481286782,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_19,triviaqa,True,"Which European country has regions called Karlovy Vary, Plzeň and South Bohemia?",Czech Republic,1.0,1.0,-0.0,-0.021632584395213428,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_20,triviaqa,True,What was the name of the Cunard ocean liner which was launched on 20th September 1906?,Lusitania,0.99875,1.0,-0.0,-0.040703232421655064,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_21,triviaqa,True,What is the name of the giraffe that Toys-r-us uses as its' mascot?,Geoffrey the Giraffe,0.99875,1.0,-0.0,-0.05993867572690627,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_22,triviaqa,True,The 2007 film 300 is a fictionalised retelling of which battle?,Battle of Thermopylae,0.99875,1.0,-0.0,-0.03365574721291911,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_23,triviaqa,True,"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Bayer system,0.95,0.625,0.9002560512685369,-0.17052349143410606,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_24,triviaqa,True,In which sport could the Pacers take on the Pistons?,Basketball,1.0,1.0,-0.0,-0.02322879327797267,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_25,triviaqa,True,"Cryos, the worlds largest sperm bank, recently announced that they will no longer accept donations from guys with what physical characteristic?",Smokers,0.9057142857142857,0.25,1.9061547465398496,-0.41168537452186926,False,8,7
mistralai/Mistral-7B-Instruct-v0.3,tqa_26,triviaqa,True,Who has been Secretary of State for Work and Pensions since May 2010?,Iain Duncan Smith,1.0,0.875,0.37677016125643675,-0.06073523862270519,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_27,triviaqa,True,Artiodactyla Suidae is the scientific name for which farm animal?,Pig,1.0,0.625,0.6615632381579821,-0.06432892371383359,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_28,triviaqa,True,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",Queen Victoria,1.0,1.0,-0.0,-0.06144392985643898,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_29,triviaqa,True,What is the middle name of US actor Samuel L Jackson?,Leigh,0.99625,0.5,0.9743147528693494,-0.24788780778407712,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_30,triviaqa,True,On which coast of South America would you find the country of Venezuela?,Caribbean,0.9875,0.75,0.5623351446188083,-0.1605253443088927,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_31,triviaqa,True,"“And Another Thing...” by Eoin Colfer, published in 2009, eight years after the death of the author of the first five, is described as the sixth in which trilogy of books?",Hitchhiker's Trilogy,0.99375,0.375,1.0821955300387671,-0.10802685600984774,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_32,triviaqa,True,"Which US city had the first subway system, being opened in 1895?",Boston,0.9975,1.0,-0.0,-0.10241056980799494,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_33,triviaqa,True,January 23 saw the anniversary of the introduction of the Apple Macintosh. In what year did this event happen?,1984,1.0,1.0,-0.0,-0.012803340753706786,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_34,triviaqa,True,"In December 2006, the second longest motorway tunnel in Europe was opened connecting the port to the airport in which capital city?",Amsterdam,0.93875,0.375,1.0821955300387673,-0.3221584260984839,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_35,triviaqa,True,Arkansas Black is a variety of which fruit?,Apple,1.0,1.0,-0.0,-0.03920934539025514,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_36,triviaqa,True,Which musical features the song 'Second Hand Rose'?,Cole Porter,0.9857142857142857,0.75,0.7356219397587946,-0.19347400019243133,False,8,7
mistralai/Mistral-7B-Instruct-v0.3,tqa_37,triviaqa,True,Which English Admiral gave his name to a battle cruiser which was sunk in 1941?,Admiral Hood,0.96375,0.375,1.2554823251787537,-0.24037898582492973,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_38,triviaqa,True,In which film did Kenneth Williams say infamy infamy they've all got it in for me?,Carry On Cleo,1.0,1.0,-0.0,-0.03334857224680682,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_39,triviaqa,True,"In 1956, which peninsula was the first part of Britain to be designated an 'Area of Outstanding Natural Beauty'?",Lizard Peninsula,0.99375,0.5,0.9743147528693494,-0.17662245514815691,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_40,triviaqa,True,"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Sandown Park,0.99625,0.5,1.0397207708399179,-0.16667618644999266,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_41,triviaqa,True,"Which Charles Dickens novel has two title characters, both called 'Paul' and a full title that ends with the words: 'Wholesale, Retail and for Exportation'?",Barnaby Rudge,1.0,0.625,0.9002560512685369,-0.10751736744632574,False,8,7
mistralai/Mistral-7B-Instruct-v0.3,tqa_42,triviaqa,True,Which land mammal has the longest tail?,Giraffe,0.9625,0.5,1.2130075659799042,-0.2364238319055601,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_43,triviaqa,True,An encephalogram is an X-Ray photograph of which part of the human body?,Brain,1.0,0.875,0.37677016125643675,-0.08211701306327768,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_44,triviaqa,True,"Considered unlucky in Italy, probably because its Roman numerals are an anagram of a Latin word which can mean loosely 'I have lived', implying 'I am dead' ?",Crow,0.93625,0.875,0.37677016125643675,-0.24115765652537122,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_45,triviaqa,True,What was the capital of West Germany from 1949 to 1990?,Bonn,1.0,1.0,-0.0,-0.01790137900401545,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_46,triviaqa,True,"Although only 1 of 4 days that had a huge impact on the word, October 29, 1929, became the face of the catastrophe, and is commonly known by what name?",Black Tuesday,1.0,1.0,-0.0,-0.01926125087972963,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_47,triviaqa,True,In which year in the 1930's were Bonnie and Clyde killed?,1934,1.0,1.0,-0.0,-0.028613292924516937,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_48,triviaqa,True,"In which country were 29 miners killed after 2 explosions in the Pike River Mine in November 2010, making it the most-deadly mining disaster there in 96 years?",New Zealand,1.0,1.0,-0.0,-0.037417643936225084,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_49,triviaqa,True,King Charles II nicknamed which US state (then colony) 'Old Dominion' for its loyalty to the Crown during the Commonwealth?,Virginia,1.0,1.0,-0.0,-0.03921862725419453,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_50,triviaqa,True,"Alternatively known as Austrpphlebia Costalis, what type of insect is a Southern Giant Darner ?",Dragonfly,0.99875,0.5,0.9743147528693494,-0.13429658896429852,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_51,triviaqa,True,"What was the nickname of Henry Percy, the eldest son of the first Earl of Northumberland?",Harry Hotspur,1.0,1.0,-0.0,-0.028575863957920927,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_52,triviaqa,True,What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 ‘Rumble in the Jungle’ fight in Zaire?,When We Were Kings,1.0,1.0,-0.0,-0.029821793834268875,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_53,triviaqa,True,What does a querulous person do?,Complains frequently,0.99375,0.625,0.9002560512685369,-0.1295316373331149,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_54,triviaqa,True,Ivan Galamian has had world-wide influence as a teacher of what?,Violin,0.99875,0.875,0.37677016125643675,-0.09965862030221745,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_55,triviaqa,True,By what name was netball previously known?,Basketball,0.725,0.375,1.4941751382893085,-0.3612109439081219,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_56,triviaqa,True,Who is Vincent Furnier better know as?,Alice Cooper,0.7625,0.75,0.5623351446188083,-0.09764070197080188,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_57,triviaqa,True,Which aperitif is named for the Paris chemist who created it in 1846?,vermouth,0.99125,0.625,0.6615632381579821,-0.15485403422548347,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_58,triviaqa,True,"Which film, directed by David Lean and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?",Great Escape,0.99375,0.625,0.6615632381579821,-0.1280654880013783,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_59,triviaqa,True,"Which was the final battle of King Arthur, at which he was mortally wounded?",Battle of Camlann,0.97625,1.0,-0.0,-0.08894264341171863,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_60,triviaqa,True,In Old Possums book of practical cats what is the name of the cat who is the terror of the Thames?,Sweeney Todd,0.96625,0.125,2.0794415416798357,-0.42066497435895434,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_61,triviaqa,True,"In measurement, a hand is equal to how many inches?",4 inches,1.0,1.0,-0.0,-0.03962457091849315,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_62,triviaqa,True,What movie takes place at Shermer High School's detention?,The Breakfast Club,1.0,1.0,-0.0,-0.026575515256573746,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_63,triviaqa,True,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,Ray Kroc,1.0,1.0,-0.0,-0.022548311361796726,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_64,triviaqa,True,"If Gordon Banks was 1, Nobby Stiles was 4, Bobby Charlton was 9, who was 16?",George Best,0.9975,1.0,-0.0,-0.08176437586053392,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_65,triviaqa,True,"Which work by Gilbert and Sullivan features the 'Duke of Plaza Toro' and his daughter 'Casilda', who becomes the 'Queen of Barataria'?",The Gondoliers,1.0,0.625,0.9002560512685369,-0.07391431234068083,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_66,triviaqa,True,"""Which English comedian had a minor hit in 1958 with his cover version of the Bobby Darin song, """"Splish Splash""""?""",Bud Flanagan,0.97,0.625,0.6615632381579821,-0.1685856812518079,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_67,triviaqa,True,"What American animal is commonly called an antelope, but is not actually an antelope?",Pronghorn,1.0,1.0,-0.0,-0.019594528213511188,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_68,triviaqa,True,"For what does the G stand in the navigational aid, usually known as a `GPS'?",Global,1.0,0.625,0.6615632381579821,-0.07921896445565825,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_69,triviaqa,True,In what European city was snooker player John Higgins stung by the News of the World newspaper relating to an alleged betting fix?,Glasgow,0.9825,1.0,-0.0,-0.11999653038020922,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_70,triviaqa,True,Which country was founded by Muhammed Ali Jinnah?,Pakistan,1.0,1.0,-0.0,-0.026512109072200474,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_71,triviaqa,True,What Jewish banking family rose from the Frankfurt ghetto to become unthinkably wealthy?,Rothschild,0.9975,1.0,-0.0,-0.08108397348995228,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_72,triviaqa,True,What French region's capital city is Ajaccio?,Corsica,1.0,1.0,-0.0,-0.0417388105736749,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_73,triviaqa,True,Which country is known as The Hashemite Kingdom?,Jordan,1.0,1.0,-0.0,-0.06607236353661874,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_74,triviaqa,True,Which Verdi opera is based on La Dame aux Camellias by Alexandre Dumas fils?,La Traviata,1.0,1.0,-0.0,-0.01619714997360057,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_75,triviaqa,True,Which leader of a British coalition Government became the first Earl of Dwfor?,David Lloyd George,0.99875,1.0,-0.0,-0.05528797281841914,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_76,triviaqa,True,Who won the 1952 US Presidential election?,Dwight D. Eisenhower,1.0,1.0,-0.0,-0.04220294613299746,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_77,triviaqa,True,Which cardinal point does not appear in the names of the American states,North,0.9975,1.0,-0.0,-0.07753967410230708,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_78,triviaqa,True,"In the game of Cluedo, what colour is the piece that represents Mrs Peacock?",Green,1.0,1.0,-0.0,-0.031957112740984894,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_79,triviaqa,True,"Who wrote the music for the films A Fistful of Dollars, For a Few Dollars More and The Good, the Bad and the Ugly?",Ennio Morricone,1.0,1.0,-0.0,-0.016104362089226686,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_80,triviaqa,True,How many edges are there on a tetrahedron?,6,1.0,1.0,-0.0,-0.02413313085713753,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_81,triviaqa,True,What is the capital of Colombia?,Bogotá,1.0,0.625,0.6615632381579821,-0.07601776825559325,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_82,triviaqa,True,With which instrument do you associate British jazz musician Stan Tracey?,Piano,0.9775,1.0,-0.0,-0.10534187271675073,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_83,triviaqa,True,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?",Annie Leibovitz,0.99375,1.0,-0.0,-0.07856822629205328,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_84,triviaqa,True,Can you name the singer of the title track for '1997 - Tomorrow Never Dies'?,Sheryl Crow,0.99875,1.0,-0.0,-0.06151115265905188,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_85,triviaqa,True,Who is currently the Supreme Governor of the Church of England?,The Archbishop of Canterbury,1.0,0.375,1.3208883431493221,-0.09945516241446832,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_86,triviaqa,True,What is the principal charity for single parent families in the UK?,Gingerbread,0.907142857142857,0.5,1.2130075659799042,-0.2703495856405133,True,8,7
mistralai/Mistral-7B-Instruct-v0.3,tqa_87,triviaqa,True,"In 2009 Artem Silchenko was first in the Red Bull World Series held at Antalya, Turkey & Sisikon, Switzerland in which sport?",Ski Jumping,0.995,0.625,0.9002560512685369,-0.19104938730929083,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_88,triviaqa,True,Who won his third rowing Olympic gold medal with Steve Redgrave in 2000?,Matthew Pinsent,1.0,0.875,0.37677016125643675,-0.04825905386009838,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_89,triviaqa,True,"""The naem of which Japanese car company can be translated as """"three diamonds"""", which is reflected in its fanous logo?""",Toyota,1.0,1.0,-0.0,-0.01986130076202386,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_90,triviaqa,True,Which World War 2 American general was known as 'Vinegar Joe'?,General Joseph Stilwell,0.98375,0.375,1.6674619334292948,-0.23386108740141714,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_91,triviaqa,True,Who voiced Count Duckula in an animated 1980's and 1990's television series of the same name?,David Jason,0.99375,1.0,-0.0,-0.13958290508604576,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_92,triviaqa,True,In which city in the UK is the National Railways Museum?,York,0.9975,1.0,-0.0,-0.07121655120303266,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_93,triviaqa,True,"Fremantle prison, which was closed in 1991 and is now a heritage site, is in which country?",Australia,1.0,1.0,-0.0,-0.041898528883658935,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_94,triviaqa,True,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,Muriel Spark,0.99625,1.0,-0.0,-0.07668677518412015,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_95,triviaqa,True,"In Indian cookery, dishes known as 'tandoori' are so named because their preparation involves a tandoor. What is a tandoor ?","A tandoor is a cylindrical, clay or metal oven used in Indian cuisine.",1.0,0.25,1.9061547465398496,-0.2066541524244937,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_96,triviaqa,True,‘Songs From the Tainted Cherry Tree’ is the debut album of which X Factor contestant?,Leona Lewis,0.995,0.625,0.6615632381579821,-0.11198664043192191,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_97,triviaqa,True,Name the Danny Boyle biopic about a climber trapped by a boulder for more than five days?,<s>127 Hours</s>,0.596,0.375,1.6674619334292948,-0.1844550072876407,True,8,5
mistralai/Mistral-7B-Instruct-v0.3,tqa_98,triviaqa,True,What type of food in the United States are Brown Bobbies,Ice Cream Sandwiches,0.99,0.25,1.7328679513998633,-0.2395512240462327,False,8,8
mistralai/Mistral-7B-Instruct-v0.3,tqa_99,triviaqa,True,Which six letter Japanese word describes a class of professional women in Japan who are trained from girlhood to dance and entertain social gatherings of men?,Geisha,1.0,1.0,-0.0,-0.018576998652903853,True,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_3131,selfaware_unans,False,Would you rather walk through Disneyland wearing a shirt with your most embarrassing childhood nickname on it or go to your class reunion with a big zit?,Disneyland shirt,0.8125,0.375,1.3208883431493221,-0.2941602576069431,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2882,selfaware_unans,False,Would you rather be rich and alone or be poor and find true love?,Depends on personal values,0.375,0.375,1.6674619334292948,-0.373269879071051,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2970,selfaware_unans,False,Do you think there are any birds afraid of heights?,"No, birds are not afraid of heights.",0.97375,0.375,1.6674619334292948,-0.2675493907468963,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2539,selfaware_unans,False,"Do our human accomplishments have a long-term, universal significance, or when the world ends, do we all end with it, including what we’ve achieved?",Universal significance,0.7,0.75,0.7356219397587946,-0.2640627496506248,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2748,selfaware_unans,False,Would there be days if nights never existed?,Yes,1.0,1.0,-0.0,-0.02591314689715697,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2552,selfaware_unans,False,Does a dentist go to other dentists for their teeth?,No,0.99625,1.0,-0.0,-0.0939415388648477,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2342,selfaware_unans,False,Why February has only 28 days when other months have 30 or 31 days? Can’t we add a few more days to the month of February by taking some days from other days?,"February has 28 days in common years, and 29 in leap years. It cannot easily take days from other months due to the calendar system's design.",0.98125,0.125,2.0794415416798357,-0.37866378670864637,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2777,selfaware_unans,False,Do you think people can communicate with the dead?,"No, there is no scientific evidence supporting communication with the dead.",0.99,0.25,1.9061547465398496,-0.23361748410303168,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2856,selfaware_unans,False,Several groups of friends went into a restaurant. The chef already had 8 chicken wings cooked but cooked 10 more for the group. If they each got the same amount how many would each person get?,12,1.0,1.0,-0.0,-0.03152696731225667,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2469,selfaware_unans,False,Why is vanilla ice-cream colored white when the vanilla extract is brown?,Vanilla ice-cream is colored white due to the addition of milk or cream.,0.96125,0.25,1.9061547465398496,-0.3108875789052634,,8,8
mistralai/Mistral-7B-Instruct-v0.3,sa_2616,selfaware_unans,False,How big is the universe?,Infinite,0.985,0.625,0.9002560512685369,-0.21309372013009692,,8,8
